lat,lon,time,pitch,roll,yaw,pitch_rate,roll_rate,yaw_rate,kd_gain,kp_gain,ki_gain,ground_speed,altitude,heading,pitch_setpoint,roll_setpoint,heading_setpoint,throttle_setpoint,flap_setpoint,altitude_setpoint,int_pitch_setpoint,int_roll_setpoint,int_yaw_setpoint,lastCommandSent,errorCodes,cameraStatus,waypointIndex,editing_gain,gpsStatus,batteryLevel,waypointCount,airspeed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.5307533335, -80.57742833372127, 214042.09375, -2.300236940383911, 0.9730175137519836, -40.64306640625, 0.20386305451393127, -0.40657275915145874, -0.07173357158899307, 20.149999618530273, 5.0, 0.0, 0.0, 0.8125, 19, 0, -90, 14, -93, 100, 0, 40, -2637, 0, 5200, 2064, 0, 156, 0, 24, 60, 0, 51)
43.5307533335, -80.57742833372127, 214042.296875, -5.04511022567749, 0.7517246007919312, -42.035003662109375, 0.5166946649551392, -0.10469339787960052, 0.026949958875775337, 20.149999618530273, 5.0, 0.0, 0.0, 0.8125, 19, 0, -90, 14, -1402, 100, 0, -42, -2652, 0, 5200, 2064, 0, 156, 0, 24, 60, 0, 52)
43.5307533335, -80.57742833372127, 214042.59375, -3.2635018825531006, -0.23738153278827667, -44.170040130615234, -0.4991321265697479, 0.651271641254425, -0.21366463601589203, 20.149999618530273, 5.0, 0.0, 0.0, 0.8125, 19, -2, -94, 14, -1406, 100, 0, -116, -2778, 0, 5200, 2064, 0, 156, 0, 24, 60, 0, 51)
43.5307533335, -80.57742833372127, 214042.796875, -4.005574703216553, 3.507876396179199, -46.93456268310547, 0.7070170640945435, -0.0506252758204937, -0.16479681432247162, 20.149999618530273, 5.0, 0.0, 0.0, 0.8125, 19, -348, -96, 14, -1413, 100, 0, -17790, -2824, 0, 5200, 2064, 0, 156, 0, 24, 60, 0, 52)
43.5307533335, -80.57742833372127, 214043.09375, -6.386664867401123, 1.2883614301681519, -49.1159782409668, -0.22948068380355835, 0.37240663170814514, -0.20459966361522675, 20.149999618530273, 5.0, 0.0, 0.0, 0.625, 19, -351, -100, 14, -1418, 100, 0, -17956, -2945, 0, 5200, 2064, 0, 156, 0, 24, 60, 0, 1)
43.5307533335, -80.57742833372127, 214043.296875, -7.87258768081665, 2.533299207687378, -49.23162078857422, 0.2296934425830841, -0.5072916150093079, 0.2449658364057541, 20.149999618530273, 5.0, 0.0, 0.0, 0.625, 19, -352, -96, 14, -1423, 100, 0, -18024, -2833, 0, 5200, 2064, 0, 156, 0, 24, 60, 0, 51)
43.5307600002, -80.57733666704904, 214043.40625, -3.467475175857544, 0.2126060277223587, -44.840789794921875, 0.07864560186862946, -0.30427980422973633, 0.15301376581192017, 20.149999618530273, 5.0, 0.0, 0.0, 0.625, 19, -357, -96, 14, -1429, 100, 0, -18311, -2818, 0, 5200, 2064, 0, 156, 0, 24, 60, 0, 5)
43.5307616669, -80.57735500038301, 214043.796875, -3.029282331466675, -2.5728049278259277, -40.507938385009766, -0.22189746797084808, 0.5465466380119324, 0.22913922369480133, 20.149999618530273, 5.0, 0.0, 3.402777671813965, 0.625, 280, -354, -91, 5, -1430, 100, 0, -18090, -2688, 0, 5200, 2064, 0, 156, 0, 24, 60, 0, 5)
43.5307633335, -80.57736333371625, 214044.0, -6.974345684051514, -2.4636693000793457, -39.67319107055664, -0.3684682250022888, -0.1995161473751068, -0.12323392927646637, 20.149999618530273, 5.0, 0.0, 3.875, 0.625, 281, -360, -97, 7, -1431, 100, 0, -18398, -2854, 0, 5200, 2064, 0, 156, 0, 24, 60, 0, 51)
